[16:02:15] [Server thread/INFO]: Starting minecraft server version 1.8
[16:02:17] [Server thread/INFO]: Loading properties
[16:02:17] [Server thread/INFO]: Default game type: ADVENTURE
[16:02:17] [Server thread/INFO]: Generating keypair
[16:02:18] [Server thread/INFO]: Starting Minecraft server on *:25565
[16:02:18] [Server thread/WARN]: **** SERVER IS RUNNING IN OFFLINE/INSECURE MODE!
[16:02:18] [Server thread/WARN]: The server will make no attempt to authenticate usernames. Beware.
[16:02:18] [Server thread/WARN]: While this makes the game possible to play without internet access, it also opens up the ability for hackers to connect with any username they choose.
[16:02:18] [Server thread/WARN]: To change this, set "online-mode" to "true" in the server.properties file.
[16:02:20] [Server thread/INFO]: Preparing level "torneo"
[16:02:20] [Server thread/INFO]: Preparing start region for level 0
[16:02:21] [Server thread/INFO]: Preparing spawn area: 76%
[16:02:21] [Server thread/INFO]: Done (2.513s)! For help, type "help" or "?"
[16:05:34] [Server thread/INFO]: [Crissmdz: Set Crissmdz's game mode to Spectator Mode]
[16:05:34] [Server thread/INFO]: [Crissmdz: Set Crissmdz's game mode to Spectator Mode]
[16:05:35] [Server thread/INFO]: [Crissmdz: Set Crissmdz's game mode to Spectator Mode]
[16:05:35] [Server thread/INFO]: [Crissmdz: Set Crissmdz's game mode to Spectator Mode]
[16:05:35] [Server thread/INFO]: [Crissmdz: Set Crissmdz's game mode to Spectator Mode]
[16:05:35] [Server thread/INFO]: [Crissmdz: Set Crissmdz's game mode to Spectator Mode]
[16:05:35] [Server thread/INFO]: [Crissmdz: Set Crissmdz's game mode to Spectator Mode]
[16:05:36] [Server thread/INFO]: [Crissmdz: Set Crissmdz's game mode to Spectator Mode]
[16:05:36] [Server thread/INFO]: [Crissmdz: Set Crissmdz's game mode to Spectator Mode]
[16:05:36] [Server thread/INFO]: [Crissmdz: Set Crissmdz's game mode to Spectator Mode]
[16:05:36] [Server thread/INFO]: [Crissmdz: Set Crissmdz's game mode to Spectator Mode]
[16:05:36] [Server thread/INFO]: [Crissmdz: Set Crissmdz's game mode to Spectator Mode]
[16:05:37] [Server thread/INFO]: [Crissmdz: Set Crissmdz's game mode to Spectator Mode]
[16:05:37] [Server thread/INFO]: [Crissmdz: Set Crissmdz's game mode to Spectator Mode]
[16:05:37] [Server thread/INFO]: [Crissmdz: Set Crissmdz's game mode to Spectator Mode]
[16:05:37] [Server thread/INFO]: [Crissmdz: Set Crissmdz's game mode to Spectator Mode]
[16:05:37] [Server thread/INFO]: [Crissmdz: Set Crissmdz's game mode to Spectator Mode]
[16:05:38] [Server thread/INFO]: [Crissmdz: Set Crissmdz's game mode to Spectator Mode]
[16:05:38] [Server thread/INFO]: [Crissmdz: Set Crissmdz's game mode to Spectator Mode]
[16:05:38] [Server thread/INFO]: [Crissmdz: Set Crissmdz's game mode to Spectator Mode]
[16:05:38] [Server thread/INFO]: [Crissmdz: Set Crissmdz's game mode to Spectator Mode]
[16:05:38] [Server thread/INFO]: [Crissmdz: Set Crissmdz's game mode to Spectator Mode]
[16:05:39] [Server thread/INFO]: [Crissmdz: Set Crissmdz's game mode to Spectator Mode]
[16:05:39] [Server thread/INFO]: [Crissmdz: Set Crissmdz's game mode to Spectator Mode]
[16:05:39] [Server thread/INFO]: [Crissmdz: Set Crissmdz's game mode to Spectator Mode]
[16:05:39] [Server thread/INFO]: [Crissmdz: Set Crissmdz's game mode to Spectator Mode]
[16:05:39] [Server thread/INFO]: [Crissmdz: Set Crissmdz's game mode to Spectator Mode]
[16:05:40] [Server thread/INFO]: [Crissmdz: Set Crissmdz's game mode to Spectator Mode]
[16:05:40] [Server thread/INFO]: [Crissmdz: Set Crissmdz's game mode to Spectator Mode]
[16:05:40] [Server thread/INFO]: [Crissmdz: Set Crissmdz's game mode to Spectator Mode]
[16:05:40] [Server thread/INFO]: [Crissmdz: Set Crissmdz's game mode to Spectator Mode]
[16:05:40] [Server thread/INFO]: [Crissmdz: Set Crissmdz's game mode to Spectator Mode]
[16:05:41] [Server thread/INFO]: [Crissmdz: Set Crissmdz's game mode to Spectator Mode]
[16:05:41] [Server thread/INFO]: [Crissmdz: Set Crissmdz's game mode to Spectator Mode]
[16:05:41] [Server thread/INFO]: [Crissmdz: Set Crissmdz's game mode to Spectator Mode]
[16:05:41] [Server thread/INFO]: [Crissmdz: Set Crissmdz's game mode to Spectator Mode]
[16:05:41] [Server thread/INFO]: [Crissmdz: Set Crissmdz's game mode to Spectator Mode]
[16:05:42] [Server thread/INFO]: [Crissmdz: Set Crissmdz's game mode to Spectator Mode]
[16:05:42] [Server thread/INFO]: [Crissmdz: Set Crissmdz's game mode to Spectator Mode]
[16:05:42] [Server thread/INFO]: [Crissmdz: Set Crissmdz's game mode to Spectator Mode]
[16:05:42] [Server thread/INFO]: [Crissmdz: Set Crissmdz's game mode to Spectator Mode]
[16:05:42] [Server thread/INFO]: [Crissmdz: Set Crissmdz's game mode to Spectator Mode]
[16:05:43] [Server thread/INFO]: [Crissmdz: Set Crissmdz's game mode to Spectator Mode]
[16:05:43] [Server thread/INFO]: [Crissmdz: Set Crissmdz's game mode to Spectator Mode]
[16:05:43] [Server thread/INFO]: [Crissmdz: Set Crissmdz's game mode to Spectator Mode]
[16:05:43] [Server thread/INFO]: [Crissmdz: Set Crissmdz's game mode to Spectator Mode]
[16:05:43] [Server thread/INFO]: [Crissmdz: Set Crissmdz's game mode to Spectator Mode]
[16:05:44] [Server thread/INFO]: [Crissmdz: Set Crissmdz's game mode to Spectator Mode]
[16:05:44] [Server thread/INFO]: [Crissmdz: Set Crissmdz's game mode to Spectator Mode]
[16:05:44] [Server thread/INFO]: [Crissmdz: Set Crissmdz's game mode to Spectator Mode]
[16:05:44] [Server thread/INFO]: [Crissmdz: Set Crissmdz's game mode to Spectator Mode]
[16:05:44] [Server thread/INFO]: [Crissmdz: Set Crissmdz's game mode to Spectator Mode]
[16:05:45] [Server thread/INFO]: [Crissmdz: Set Crissmdz's game mode to Spectator Mode]
[16:05:45] [Server thread/INFO]: [Crissmdz: Set Crissmdz's game mode to Spectator Mode]
[16:05:45] [Server thread/INFO]: [Crissmdz: Set Crissmdz's game mode to Spectator Mode]
[16:05:45] [Server thread/INFO]: [Crissmdz: Set Crissmdz's game mode to Spectator Mode]
[16:05:45] [Server thread/INFO]: [Crissmdz: Set Crissmdz's game mode to Spectator Mode]
[16:05:46] [Server thread/INFO]: [Crissmdz: Set Crissmdz's game mode to Spectator Mode]
[16:05:46] [Server thread/INFO]: [Crissmdz: Set Crissmdz's game mode to Spectator Mode]
[16:05:46] [Server thread/INFO]: [Crissmdz: Set Crissmdz's game mode to Spectator Mode]
[16:05:46] [Server thread/INFO]: [Crissmdz: Set Crissmdz's game mode to Spectator Mode]
[16:05:46] [Server thread/INFO]: [Crissmdz: Set Crissmdz's game mode to Spectator Mode]
[16:05:47] [Server thread/INFO]: [Crissmdz: Set Crissmdz's game mode to Spectator Mode]
[16:05:47] [Server thread/INFO]: [Crissmdz: Set Crissmdz's game mode to Spectator Mode]
[16:05:47] [Server thread/INFO]: [Crissmdz: Set Crissmdz's game mode to Spectator Mode]
[16:05:47] [Server thread/INFO]: [Crissmdz: Set Crissmdz's game mode to Spectator Mode]
[16:05:47] [Server thread/INFO]: [Crissmdz: Set Crissmdz's game mode to Spectator Mode]
[16:05:48] [Server thread/INFO]: [Crissmdz: Set Crissmdz's game mode to Spectator Mode]
[16:05:48] [Server thread/INFO]: [Crissmdz: Set Crissmdz's game mode to Spectator Mode]
[16:05:48] [Server thread/INFO]: [Crissmdz: Set Crissmdz's game mode to Spectator Mode]
[16:05:48] [Server thread/INFO]: [Crissmdz: Set Crissmdz's game mode to Spectator Mode]
[16:05:48] [Server thread/INFO]: [Crissmdz: Set Crissmdz's game mode to Spectator Mode]
[16:05:49] [Server thread/INFO]: [Crissmdz: Set Crissmdz's game mode to Spectator Mode]
[16:05:49] [Server thread/INFO]: [Crissmdz: Set Crissmdz's game mode to Spectator Mode]
[16:05:49] [Server thread/INFO]: [Crissmdz: Set Crissmdz's game mode to Spectator Mode]
[16:05:49] [Server thread/INFO]: [Crissmdz: Set Crissmdz's game mode to Spectator Mode]
[16:05:49] [Server thread/INFO]: [Crissmdz: Set Crissmdz's game mode to Spectator Mode]
[16:05:50] [Server thread/INFO]: [Crissmdz: Set Crissmdz's game mode to Spectator Mode]
[16:05:50] [Server thread/INFO]: [Crissmdz: Set Crissmdz's game mode to Spectator Mode]
[16:05:50] [Server thread/INFO]: [Crissmdz: Set Crissmdz's game mode to Spectator Mode]
[16:05:50] [Server thread/INFO]: [Crissmdz: Set Crissmdz's game mode to Spectator Mode]
[16:05:50] [Server thread/INFO]: [Crissmdz: Set Crissmdz's game mode to Spectator Mode]
[16:05:51] [Server thread/INFO]: [Crissmdz: Set Crissmdz's game mode to Spectator Mode]
[16:05:51] [Server thread/INFO]: [Crissmdz: Set Crissmdz's game mode to Spectator Mode]
[16:05:51] [Server thread/INFO]: [Crissmdz: Set Crissmdz's game mode to Spectator Mode]
[16:05:51] [Server thread/INFO]: [Crissmdz: Set Crissmdz's game mode to Spectator Mode]
[16:05:51] [Server thread/INFO]: [Crissmdz: Set Crissmdz's game mode to Spectator Mode]
[16:05:52] [Server thread/INFO]: [Crissmdz: Set Crissmdz's game mode to Spectator Mode]
[16:05:52] [Server thread/INFO]: [Crissmdz: Set Crissmdz's game mode to Spectator Mode]
[16:05:52] [Server thread/INFO]: [Crissmdz: Set Crissmdz's game mode to Spectator Mode]
[16:05:52] [Server thread/INFO]: [Crissmdz: Set Crissmdz's game mode to Spectator Mode]
[16:05:52] [Server thread/INFO]: [Crissmdz: Set Crissmdz's game mode to Spectator Mode]
[16:05:53] [Server thread/INFO]: [Crissmdz: Set Crissmdz's game mode to Spectator Mode]
[16:05:53] [Server thread/INFO]: [Crissmdz: Set Crissmdz's game mode to Spectator Mode]
[16:05:53] [Server thread/INFO]: [Crissmdz: Set Crissmdz's game mode to Spectator Mode]
[16:05:53] [Server thread/INFO]: [Crissmdz: Set Crissmdz's game mode to Spectator Mode]
[16:05:53] [Server thread/INFO]: [Crissmdz: Set Crissmdz's game mode to Spectator Mode]
[16:05:54] [Server thread/INFO]: [Crissmdz: Set Crissmdz's game mode to Spectator Mode]
[16:05:54] [Server thread/INFO]: [Crissmdz: Set Crissmdz's game mode to Spectator Mode]
[16:05:54] [Server thread/INFO]: [Crissmdz: Set Crissmdz's game mode to Spectator Mode]
[16:05:54] [Server thread/INFO]: [Crissmdz: Set Crissmdz's game mode to Spectator Mode]
[16:05:54] [Server thread/INFO]: [Crissmdz: Set Crissmdz's game mode to Spectator Mode]
[16:05:55] [Server thread/INFO]: [Crissmdz: Set Crissmdz's game mode to Spectator Mode]
[16:05:55] [Server thread/INFO]: [Crissmdz: Set Crissmdz's game mode to Spectator Mode]
[16:05:55] [Server thread/INFO]: [Crissmdz: Set Crissmdz's game mode to Spectator Mode]
[16:05:55] [Server thread/INFO]: [Crissmdz: Set Crissmdz's game mode to Spectator Mode]
[16:05:55] [Server thread/INFO]: [Crissmdz: Set Crissmdz's game mode to Spectator Mode]
[16:05:56] [Server thread/INFO]: [Crissmdz: Set Crissmdz's game mode to Spectator Mode]
[16:05:56] [Server thread/INFO]: [Crissmdz: Set Crissmdz's game mode to Spectator Mode]
[16:05:56] [Server thread/INFO]: [Crissmdz: Set Crissmdz's game mode to Spectator Mode]
[16:05:56] [Server thread/INFO]: [Crissmdz: Set Crissmdz's game mode to Spectator Mode]
[16:05:56] [Server thread/INFO]: [Crissmdz: Set Crissmdz's game mode to Spectator Mode]
[16:05:57] [Server thread/INFO]: [Crissmdz: Set Crissmdz's game mode to Spectator Mode]
[16:05:57] [Server thread/INFO]: [Crissmdz: Set Crissmdz's game mode to Spectator Mode]
[16:05:57] [Server thread/INFO]: [Crissmdz: Set Crissmdz's game mode to Spectator Mode]
[16:05:57] [Server thread/INFO]: [Crissmdz: Set Crissmdz's game mode to Spectator Mode]
[16:05:57] [Server thread/INFO]: [Crissmdz: Set Crissmdz's game mode to Spectator Mode]
[16:05:58] [Server thread/INFO]: [Crissmdz: Set Crissmdz's game mode to Spectator Mode]
[16:05:58] [Server thread/INFO]: [Crissmdz: Set Crissmdz's game mode to Spectator Mode]
[16:05:58] [Server thread/INFO]: [Crissmdz: Set Crissmdz's game mode to Spectator Mode]
[16:05:58] [Server thread/INFO]: [Crissmdz: Set Crissmdz's game mode to Spectator Mode]
[16:05:58] [Server thread/INFO]: [Crissmdz: Set Crissmdz's game mode to Spectator Mode]
[16:05:59] [Server thread/INFO]: [Crissmdz: Set Crissmdz's game mode to Spectator Mode]
[16:05:59] [Server thread/INFO]: [Crissmdz: Set Crissmdz's game mode to Spectator Mode]
[16:05:59] [Server thread/INFO]: [Crissmdz: Set Crissmdz's game mode to Spectator Mode]
[16:05:59] [Server thread/INFO]: [Crissmdz: Set Crissmdz's game mode to Spectator Mode]
[16:05:59] [Server thread/INFO]: [Crissmdz: Set Crissmdz's game mode to Spectator Mode]
[16:06:00] [Server thread/INFO]: [Crissmdz: Set Crissmdz's game mode to Spectator Mode]
[16:06:00] [Server thread/INFO]: [Crissmdz: Set Crissmdz's game mode to Spectator Mode]
[16:06:00] [Server thread/INFO]: [Crissmdz: Set Crissmdz's game mode to Spectator Mode]
[16:06:00] [Server thread/INFO]: [Crissmdz: Set Crissmdz's game mode to Spectator Mode]
[16:06:00] [Server thread/INFO]: [ToBiik_: Reset score Muertes of player Crissmdz]
[16:06:11] [Server thread/INFO]: [ToBiik_: Set Crissmdz's game mode to Adventure Mode]
[16:06:15] [Server thread/INFO]: [@: Set the time to 1000]
[16:06:15] [Server thread/INFO]: [@: Changing to clear weather]
[16:07:06] [Server thread/INFO]: [@: Set the time to 1000]
[16:07:06] [Server thread/INFO]: [@: Changing to clear weather]
[16:07:18] [Server thread/INFO]: <ToBiik_> ./ban-ip (nombre)
[16:07:58] [Server thread/INFO]: [@: Set the time to 1000]
[16:07:58] [Server thread/INFO]: [@: Changing to clear weather]
[16:08:49] [Server thread/INFO]: [@: Set the time to 1000]
[16:08:49] [Server thread/INFO]: [@: Changing to clear weather]
[16:09:40] [Server thread/INFO]: [@: Set the time to 1000]
[16:09:40] [Server thread/INFO]: [@: Changing to clear weather]
[16:10:31] [Server thread/INFO]: [@: Set the time to 1000]
[16:10:31] [Server thread/INFO]: [@: Changing to clear weather]
[16:11:22] [Server thread/INFO]: [@: Set the time to 1000]
[16:11:22] [Server thread/INFO]: [@: Changing to clear weather]
[16:11:52] [Server thread/INFO]: [ToBiik_: Opped Crissmdz]
[16:12:13] [Server thread/INFO]: [@: Set the time to 1000]
[16:12:13] [Server thread/INFO]: [@: Changing to clear weather]
[16:13:04] [Server thread/INFO]: [@: Set the time to 1000]
[16:13:04] [Server thread/INFO]: [@: Changing to clear weather]
[16:13:16] [Server thread/INFO]: [ToBiik_: Set own game mode to Spectator Mode]
[16:13:47] [Server thread/INFO]: [ToBiik_: Set own game mode to Adventure Mode]
[16:13:53] [Server thread/INFO]: ToBiik_ tried to swim in lava
[16:13:56] [Server thread/INFO]: [@: Set the time to 1000]
[16:13:56] [Server thread/INFO]: [@: Changing to clear weather]
[16:14:04] [Server thread/INFO]: Crissmdz has just earned the achievement [Taking Inventory]
[16:14:08] [Server thread/INFO]: ToBiik_ tried to swim in lava
[16:14:09] [Server thread/INFO]: [ToBiik_: Set ToBiik_'s game mode to Spectator Mode]
[16:14:10] [Server thread/INFO]: [ToBiik_: Set ToBiik_'s game mode to Spectator Mode]
[16:14:10] [Server thread/INFO]: [ToBiik_: Set ToBiik_'s game mode to Spectator Mode]
[16:14:10] [Server thread/INFO]: [ToBiik_: Set ToBiik_'s game mode to Spectator Mode]
[16:14:10] [Server thread/INFO]: [ToBiik_: Set ToBiik_'s game mode to Spectator Mode]
[16:14:10] [Server thread/INFO]: [ToBiik_: Set ToBiik_'s game mode to Spectator Mode]
[16:14:11] [Server thread/INFO]: [ToBiik_: Set ToBiik_'s game mode to Spectator Mode]
[16:14:11] [Server thread/INFO]: [ToBiik_: Set ToBiik_'s game mode to Spectator Mode]
[16:14:11] [Server thread/INFO]: [ToBiik_: Set ToBiik_'s game mode to Spectator Mode]
[16:14:11] [Server thread/INFO]: [ToBiik_: Set ToBiik_'s game mode to Spectator Mode]
[16:14:11] [Server thread/INFO]: [ToBiik_: Set ToBiik_'s game mode to Spectator Mode]
[16:14:12] [Server thread/INFO]: [ToBiik_: Set ToBiik_'s game mode to Spectator Mode]
[16:14:12] [Server thread/INFO]: [ToBiik_: Set ToBiik_'s game mode to Spectator Mode]
[16:14:12] [Server thread/INFO]: [ToBiik_: Set ToBiik_'s game mode to Spectator Mode]
[16:14:12] [Server thread/INFO]: [ToBiik_: Set ToBiik_'s game mode to Spectator Mode]
[16:14:12] [Server thread/INFO]: [ToBiik_: Set ToBiik_'s game mode to Spectator Mode]
[16:14:13] [Server thread/INFO]: [ToBiik_: Set ToBiik_'s game mode to Spectator Mode]
[16:14:13] [Server thread/INFO]: [ToBiik_: Set ToBiik_'s game mode to Spectator Mode]
[16:14:13] [Server thread/INFO]: [ToBiik_: Set ToBiik_'s game mode to Spectator Mode]
[16:14:13] [Server thread/INFO]: [ToBiik_: Set ToBiik_'s game mode to Spectator Mode]
[16:14:13] [Server thread/INFO]: [ToBiik_: Set ToBiik_'s game mode to Spectator Mode]
[16:14:14] [Server thread/INFO]: [ToBiik_: Set ToBiik_'s game mode to Spectator Mode]
[16:14:14] [Server thread/INFO]: [ToBiik_: Set ToBiik_'s game mode to Spectator Mode]
[16:14:14] [Server thread/INFO]: [ToBiik_: Set ToBiik_'s game mode to Spectator Mode]
[16:14:14] [Server thread/INFO]: [ToBiik_: Set ToBiik_'s game mode to Spectator Mode]
[16:14:14] [Server thread/INFO]: [ToBiik_: Set ToBiik_'s game mode to Spectator Mode]
[16:14:15] [Server thread/INFO]: [ToBiik_: Set ToBiik_'s game mode to Spectator Mode]
[16:14:15] [Server thread/INFO]: [ToBiik_: Set ToBiik_'s game mode to Spectator Mode]
[16:14:15] [Server thread/INFO]: [ToBiik_: Set ToBiik_'s game mode to Spectator Mode]
[16:14:15] [Server thread/INFO]: [ToBiik_: Set ToBiik_'s game mode to Spectator Mode]
[16:14:15] [Server thread/INFO]: [ToBiik_: Set ToBiik_'s game mode to Spectator Mode]
[16:14:16] [Server thread/INFO]: [ToBiik_: Set ToBiik_'s game mode to Spectator Mode]
[16:14:16] [Server thread/INFO]: [ToBiik_: Set ToBiik_'s game mode to Spectator Mode]
[16:14:16] [Server thread/INFO]: [ToBiik_: Set ToBiik_'s game mode to Spectator Mode]
[16:14:16] [Server thread/INFO]: [ToBiik_: Set ToBiik_'s game mode to Spectator Mode]
[16:14:16] [Server thread/INFO]: [ToBiik_: Set ToBiik_'s game mode to Spectator Mode]
[16:14:17] [Server thread/INFO]: [ToBiik_: Set ToBiik_'s game mode to Spectator Mode]
[16:14:17] [Server thread/INFO]: [ToBiik_: Set ToBiik_'s game mode to Spectator Mode]
[16:14:17] [Server thread/INFO]: [ToBiik_: Set ToBiik_'s game mode to Spectator Mode]
[16:14:17] [Server thread/INFO]: [ToBiik_: Set ToBiik_'s game mode to Spectator Mode]
[16:14:17] [Server thread/INFO]: [ToBiik_: Set ToBiik_'s game mode to Spectator Mode]
[16:14:18] [Server thread/INFO]: [ToBiik_: Set ToBiik_'s game mode to Spectator Mode]
[16:14:18] [Server thread/INFO]: [ToBiik_: Set ToBiik_'s game mode to Spectator Mode]
[16:14:18] [Server thread/INFO]: [ToBiik_: Set ToBiik_'s game mode to Spectator Mode]
[16:14:18] [Server thread/INFO]: [ToBiik_: Set ToBiik_'s game mode to Spectator Mode]
[16:14:18] [Server thread/INFO]: [ToBiik_: Set ToBiik_'s game mode to Spectator Mode]
[16:14:19] [Server thread/INFO]: [ToBiik_: Set ToBiik_'s game mode to Spectator Mode]
[16:14:19] [Server thread/INFO]: [ToBiik_: Set ToBiik_'s game mode to Spectator Mode]
[16:14:19] [Server thread/INFO]: [ToBiik_: Set ToBiik_'s game mode to Spectator Mode]
[16:14:19] [Server thread/INFO]: [ToBiik_: Set ToBiik_'s game mode to Spectator Mode]
[16:14:19] [Server thread/INFO]: [ToBiik_: Set ToBiik_'s game mode to Spectator Mode]
[16:14:20] [Server thread/INFO]: [ToBiik_: Set ToBiik_'s game mode to Spectator Mode]
[16:14:20] [Server thread/INFO]: [ToBiik_: Set ToBiik_'s game mode to Spectator Mode]
[16:14:20] [Server thread/INFO]: [ToBiik_: Set ToBiik_'s game mode to Spectator Mode]
[16:14:20] [Server thread/INFO]: [ToBiik_: Set ToBiik_'s game mode to Spectator Mode]
[16:14:20] [Server thread/INFO]: [ToBiik_: Set ToBiik_'s game mode to Spectator Mode]
[16:14:21] [Server thread/INFO]: [ToBiik_: Set ToBiik_'s game mode to Spectator Mode]
[16:14:21] [Server thread/INFO]: [ToBiik_: Set ToBiik_'s game mode to Spectator Mode]
[16:14:21] [Server thread/INFO]: [ToBiik_: Set ToBiik_'s game mode to Spectator Mode]
[16:14:21] [Server thread/INFO]: [ToBiik_: Set ToBiik_'s game mode to Spectator Mode]
[16:14:21] [Server thread/INFO]: [ToBiik_: Set ToBiik_'s game mode to Spectator Mode]
[16:14:22] [Server thread/INFO]: [ToBiik_: Set ToBiik_'s game mode to Spectator Mode]
[16:14:22] [Server thread/INFO]: [ToBiik_: Set ToBiik_'s game mode to Spectator Mode]
[16:14:22] [Server thread/INFO]: [ToBiik_: Set ToBiik_'s game mode to Spectator Mode]
[16:14:22] [Server thread/INFO]: [ToBiik_: Set ToBiik_'s game mode to Spectator Mode]
[16:14:22] [Server thread/INFO]: [ToBiik_: Set ToBiik_'s game mode to Spectator Mode]
[16:14:23] [Server thread/INFO]: [ToBiik_: Set ToBiik_'s game mode to Spectator Mode]
[16:14:23] [Server thread/INFO]: [ToBiik_: Set ToBiik_'s game mode to Spectator Mode]
[16:14:23] [Server thread/INFO]: [ToBiik_: Set ToBiik_'s game mode to Spectator Mode]
[16:14:23] [Server thread/INFO]: [ToBiik_: Set ToBiik_'s game mode to Spectator Mode]
[16:14:23] [Server thread/INFO]: [ToBiik_: Set ToBiik_'s game mode to Spectator Mode]
[16:14:24] [Server thread/INFO]: [ToBiik_: Set ToBiik_'s game mode to Spectator Mode]
[16:14:24] [Server thread/INFO]: [ToBiik_: Set ToBiik_'s game mode to Spectator Mode]
[16:14:24] [Server thread/INFO]: [ToBiik_: Set ToBiik_'s game mode to Spectator Mode]
[16:14:24] [Server thread/INFO]: [ToBiik_: Set ToBiik_'s game mode to Spectator Mode]
[16:14:24] [Server thread/INFO]: [ToBiik_: Set ToBiik_'s game mode to Spectator Mode]
[16:14:25] [Server thread/INFO]: [ToBiik_: Set ToBiik_'s game mode to Spectator Mode]
[16:14:25] [Server thread/INFO]: [ToBiik_: Set ToBiik_'s game mode to Spectator Mode]
[16:14:25] [Server thread/INFO]: [ToBiik_: Set ToBiik_'s game mode to Spectator Mode]
[16:14:25] [Server thread/INFO]: [ToBiik_: Set ToBiik_'s game mode to Spectator Mode]
[16:14:25] [Server thread/INFO]: [ToBiik_: Set ToBiik_'s game mode to Spectator Mode]
[16:14:26] [Server thread/INFO]: [ToBiik_: Set ToBiik_'s game mode to Spectator Mode]
[16:14:26] [Server thread/INFO]: [ToBiik_: Set ToBiik_'s game mode to Spectator Mode]
[16:14:26] [Server thread/INFO]: [ToBiik_: Set ToBiik_'s game mode to Spectator Mode]
[16:14:26] [Server thread/INFO]: [ToBiik_: Set ToBiik_'s game mode to Spectator Mode]
[16:14:26] [Server thread/INFO]: [ToBiik_: Set ToBiik_'s game mode to Spectator Mode]
[16:14:27] [Server thread/INFO]: [ToBiik_: Set ToBiik_'s game mode to Spectator Mode]
[16:14:27] [Server thread/INFO]: [ToBiik_: Set ToBiik_'s game mode to Spectator Mode]
[16:14:27] [Server thread/INFO]: [ToBiik_: Set ToBiik_'s game mode to Spectator Mode]
[16:14:27] [Server thread/INFO]: [ToBiik_: Set ToBiik_'s game mode to Spectator Mode]
[16:14:27] [Server thread/INFO]: [ToBiik_: Set ToBiik_'s game mode to Spectator Mode]
[16:14:28] [Server thread/INFO]: [ToBiik_: Set ToBiik_'s game mode to Spectator Mode]
[16:14:28] [Server thread/INFO]: [ToBiik_: Set ToBiik_'s game mode to Spectator Mode]
[16:14:28] [Server thread/INFO]: [ToBiik_: Set ToBiik_'s game mode to Spectator Mode]
[16:14:28] [Server thread/INFO]: [ToBiik_: Set ToBiik_'s game mode to Spectator Mode]
[16:14:28] [Server thread/INFO]: [ToBiik_: Set ToBiik_'s game mode to Spectator Mode]
[16:14:29] [Server thread/INFO]: [ToBiik_: Set ToBiik_'s game mode to Spectator Mode]
[16:14:29] [Server thread/INFO]: [ToBiik_: Set ToBiik_'s game mode to Spectator Mode]
[16:14:29] [Server thread/INFO]: [ToBiik_: Set ToBiik_'s game mode to Spectator Mode]
[16:14:29] [Server thread/INFO]: [ToBiik_: Set ToBiik_'s game mode to Spectator Mode]
[16:14:29] [Server thread/INFO]: [ToBiik_: Set ToBiik_'s game mode to Spectator Mode]
[16:14:30] [Server thread/INFO]: [ToBiik_: Set ToBiik_'s game mode to Spectator Mode]
[16:14:30] [Server thread/INFO]: [ToBiik_: Set ToBiik_'s game mode to Spectator Mode]
[16:14:30] [Server thread/INFO]: [ToBiik_: Set ToBiik_'s game mode to Spectator Mode]
[16:14:30] [Server thread/INFO]: [ToBiik_: Set ToBiik_'s game mode to Spectator Mode]
[16:14:30] [Server thread/INFO]: [ToBiik_: Set ToBiik_'s game mode to Spectator Mode]
